video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=Onyk7guvHK8&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/channel/UC5aqukzSeAj9etVpQpct88A,Taboo,Stand Up / Stand N Rock #NoDAPL (Official Video),"4,5 mln. weergaven",7 jaar geleden,"Hip Hop Caucus, creator of People's Climate Music, has partnered with Taboo, solo Hip Hop artist and member of the Grammy ...",2024-01-28 22:10:29.348428
/watch?v=CAigAI-dZgQ&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/channel/UCmVqUKitxpa3e56tcRoU9Mg,Dee Snider,Dee Snider’s Standing Rock Music Video “So What” (UNCENSORED),55K weergaven,7 jaar geleden,This music video documents the Dakota Access Pipeline Protest at Standing Rock. While capturing the police brutality and human ...,2024-01-28 22:10:29.351576
/watch?v=Czd-VP6dlxA&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@bullfrogfilms,Bullfrog Films,"Bullfrog Films presents...AWAKE, A DREAM FROM STANDING ROCK",28K weergaven,6 jaar geleden,"A film by Josh Fox, James Spione, and Myron Dewey Available for educational use from Bullfrog Films: ...",2024-01-28 22:10:29.358312
/watch?v=WFo-kIMtvCo&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@seanfeucht,Sean Feucht,Standing on the Rock -  Sean Feucht - Times Square,20K weergaven,1 jaar geleden,Follow Sean: https://www.facebook.com/sean.feucht https://twitter.com/seanfeucht https://www.instagram.com/seanfeucht/ Sign up ...,2024-01-28 22:10:29.360588
/watch?v=Phre0bArD0M&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@IndianCountryToday,Indian Country Today,A MESSAGE FROM NATIVE FILMMAKERS FIGHTING THE DAKOTA PIPELINE AT STANDING ROCK,17K weergaven,7 jaar geleden,"Film by Heather Rae, Cody Lucich and Ben Dupris Posted by Sundance Film Festival ...",2024-01-28 22:10:29.373053
/watch?v=nlccshLU-Og&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/channel/UCL7aOpP89MGVXrPu7Pzhhpw,Gaither Music TV,I'm Standing On the Solid Rock (Live),140K weergaven,11 jaar geleden,"Official Video for 'I'm Standing On the Solid Rock (Live)', available now! Buy the full length DVD/CD 'Sunday Meetin' Time' Here: ...",2024-01-28 22:10:29.375139
/watch?v=2uYiHiJTN6Y&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/channel/UCr-Od38IMpigVVgRYZ42FqA,I AM THEY,I AM THEY - My Feet Are on the Rock (Official Music Video),"4,2 mln. weergaven",5 jaar geleden,"My Feet Are On The Rock"" now! iTunes: http://smarturl.it/TrialAndTriumph?IQid=VEVORockOfficalMusicVideo Amazon: ...",2024-01-28 22:10:35.931548
/watch?v=BqXlLudFQa0&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@ABCNews,ABC News,"The end of the Standing Rock standoff between authorities, protestors",97K weergaven,6 jaar geleden,Protests had been going for months in an attempt to stop the Dakota Access Pipeline from being built next the Sioux tribe's sacred ...,2024-01-28 22:10:35.934776
/watch?v=J1yD2J8vHAk&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@VICE,VICE,What Really Happened at Standing Rock | I Was There,1 mln. weergaven,3 jaar geleden,"In 2016, indigenous water protectors and their allies gathered at Standing Rock to oppose the construction of the Dakota Access ...",2024-01-28 22:10:35.940227
/watch?v=E6oVN_mWLpo&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@scandinaviahouse,Scandinavia House,End of the Line — The Women of Standing Rock Trailer,"1,2K weergaven",9 maanden geleden,"On April 14 at Scandinavia House, see acclaimed documentary filmmaker Shannon Kring's ""The End of the Line: The Women of ...",2024-01-28 22:10:35.942763
